# Time	Flux
4.4568000000e+07 9.6218864449e+00
4.4569800000e+07 9.6329627848e+00
4.4571600000e+07 9.6426124028e+00
4.4573400000e+07 9.6183100069e+00
4.4575200000e+07 9.5798318555e+00
4.4577000000e+07 9.5539251698e+00
4.4578800000e+07 9.5176765823e+00
4.4580600000e+07 9.5053495133e+00
4.4582400000e+07 9.5138581646e+00
4.4584200000e+07 9.5476255768e+00
4.4586000000e+07 9.5333792575e+00
4.4587800000e+07 9.5157503533e+00
4.4589600000e+07 9.5056620443e+00
4.4591400000e+07 9.4943450841e+00
4.4593200000e+07 9.4844384877e+00
4.4595000000e+07 9.4896036037e+00
4.4596800000e+07 9.4630979020e+00
4.4598600000e+07 9.4541578665e+00
4.4600400000e+07 9.4507779678e+00
4.4602200000e+07 9.4436671491e+00
4.4604000000e+07 9.4236233950e+00
4.4605800000e+07 9.4130769273e+00
4.4607600000e+07 9.4112355101e+00
4.4609400000e+07 9.4045930211e+00
4.4611200000e+07 9.4087327126e+00
4.4613000000e+07 9.3931317011e+00
4.4614800000e+07 9.4000021005e+00
4.4616600000e+07 9.4107607923e+00
4.4618400000e+07 9.3947642087e+00
4.4620200000e+07 9.3800921905e+00
4.4622000000e+07 9.3787180628e+00
4.4623800000e+07 9.3808487926e+00
4.4625600000e+07 9.4049083160e+00
4.4627400000e+07 9.3932215745e+00
4.4629200000e+07 9.3780018711e+00
4.4631000000e+07 9.3527837940e+00
4.4632800000e+07 9.3469415566e+00
4.4634600000e+07 9.3583177612e+00
4.4636400000e+07 9.3560295325e+00
4.4638200000e+07 9.3675682974e+00
4.4640000000e+07 9.3437429438e+00
4.4641800000e+07 9.3153763838e+00
4.4643600000e+07 9.3136341710e+00
4.4645400000e+07 9.3103210970e+00
4.4647200000e+07 9.3140873764e+00
4.4649000000e+07 9.3210533817e+00
4.4650800000e+07 9.3201924491e+00
4.4652600000e+07 9.3147735853e+00
4.4654400000e+07 9.3048283055e+00
4.4656200000e+07 9.3056881793e+00
4.4658000000e+07 9.3004527541e+00
4.4659800000e+07 9.3023026380e+00
4.4661600000e+07 9.3091660462e+00
4.4663400000e+07 9.3179635393e+00
4.4665200000e+07 9.3260392823e+00
4.4667000000e+07 9.3181725698e+00
4.4668800000e+07 9.3096996223e+00
4.4670600000e+07 9.3070920783e+00
4.4672400000e+07 9.3028043990e+00
4.4674200000e+07 9.2870128518e+00
4.4676000000e+07 9.2569220461e+00
4.4677800000e+07 9.2546639326e+00
4.4679600000e+07 9.2502578929e+00
4.4681400000e+07 9.2537907431e+00
4.4683200000e+07 9.2495340069e+00
4.4685000000e+07 9.2610397168e+00
4.4686800000e+07 9.2743154519e+00
4.4688600000e+07 9.2912686255e+00
4.4690400000e+07 9.2944567686e+00
4.4692200000e+07 9.2971316864e+00
4.4694000000e+07 9.3119291438e+00
4.4695800000e+07 9.3208796210e+00
4.4697600000e+07 9.3300327235e+00
4.4699400000e+07 9.3251554203e+00
4.4701200000e+07 9.3322739636e+00
4.4703000000e+07 9.3488120911e+00
4.4704800000e+07 9.3482516094e+00
